Id,Mean,Std,Problems
0,1.9448818897637796,0.8291043801843317,[]
1,1.8346456692913387,0.7428364720764385,[]
2,1.921259842519685,0.8126607212232067,[]
3,1.8425196850393701,0.8491377218338436,[]
4,2.015748031496063,0.8260083012813956,"[(4, -2)]"
5,1.8031496062992125,0.826537721114074,"[(4, -1)]"
6,1.8661417322834646,0.800418588152766,"[(10, -2)]"
7,1.889763779527559,0.8283503060126894,[]
8,1.8425196850393701,0.7809761581060327,"[(4, -1)]"
9,1.937007874015748,0.8140437129566042,[]
10,1.905511811023622,0.8206953194694577,[]
11,1.858267716535433,0.7738217817955583,[]
12,2.015748031496063,0.8163434926014667,[]
13,1.9133858267716535,0.8167261596138116,[]
14,1.8661417322834646,0.8102733687672842,[]
15,1.7559055118110236,0.7737410197244937,[]
16,1.8425196850393701,0.8010429397205188,"[(11, -1)]"
17,1.9133858267716535,0.8547126319936944,"[(7, -1)]"
18,1.795275590551181,0.7698544768399812,[]
19,2.0078740157480315,0.781695988810634,[]
20,1.8976377952755905,0.8436000488203542,[]
21,1.8188976377952757,0.7909941788825766,[]
22,1.8661417322834646,0.8200097243365465,[]
23,1.905511811023622,0.7911521723284514,[]
24,1.8818897637795275,0.8320387394478741,[]
25,1.9763779527559056,0.8112753718891451,"[(4, -1)]"
26,1.921259842519685,0.8692845006424065,[]
27,1.952755905511811,0.8053222535162549,[]
28,1.858267716535433,0.8235078805611589,"[(11, -3)]"
29,1.8503937007874016,0.7875896538281516,[]
30,1.9606299212598426,0.8674133670034968,[]
31,1.8818897637795275,0.8320387394478741,[]
32,1.858267716535433,0.8138133775462997,[]
33,1.968503937007874,0.825554242629798,[]
34,1.905511811023622,0.7911521723284513,[]
35,2.0078740157480315,0.8017447540637024,"[(4, -6)]"
36,1.984251968503937,0.8260083012813957,[]
37,1.8976377952755905,0.8529560705234003,[]
38,1.8425196850393701,0.7809761581060327,[]
39,1.8188976377952757,0.8009649223899493,"[(11, -1)]"
40,1.8503937007874016,0.7976029580500336,[]
41,2.094488188976378,0.8206953194694576,"[(4, -4)]"
42,1.9448818897637796,0.7898873399091679,[]
43,1.9606299212598426,0.8395158733682738,[]
44,1.9291338582677164,0.8278975318296332,[]
45,1.9133858267716535,0.7768845192854997,[]
46,1.952755905511811,0.8531758384844114,"[(10, -1)]"
47,1.9133858267716535,0.8069501867677518,[]
48,1.9921259842519685,0.781695988810634,"[(4, -8)]"
49,1.7716535433070866,0.7579104145447804,[]
50,1.8188976377952757,0.7909941788825766,[]
51,1.7559055118110236,0.79399067837748,[]
52,2.015748031496063,0.8355613260909056,"[(4, -2)]"
53,1.905511811023622,0.801120949453354,"[(4, -2)]"
54,1.921259842519685,0.8414490450633778,[]
55,1.8267716535433072,0.7977596426518889,[]
56,1.905511811023622,0.7810561720561535,[]
57,1.9291338582677164,0.8182550380758941,[]
58,1.8188976377952757,0.8301589332881898,[]
59,1.8976377952755905,0.8245695911344733,[]
60,1.8661417322834646,0.8296318242928697,[]
61,1.9606299212598426,0.820390681255744,[]
62,2.0551181102362204,0.8291043801843319,[]
63,1.9921259842519685,0.8404086590229364,"[(7, -1)]"
64,1.874015748031496,0.8260839534591686,"[(4, -1)]"
