Id,Mean,Std
18,1.9291338582677164,0.7986208584745023
28,1.921259842519685,0.7928880224047977
29,1.8503937007874016,0.7875896538281516
37,1.968503937007874,0.7861601262033048
53,1.8661417322834646,0.8296318242928697
54,2.062992125984252,0.8140437129566043
57,1.889763779527559,0.8378766289522176
70,1.8661417322834646,0.8296318242928696
73,1.874015748031496,0.8066403575427517
82,1.9763779527559056,0.8306104747593197
99,2.094488188976378,0.8398135740419459
125,1.8976377952755905,0.8436000488203542
138,1.874015748031496,0.7867163622746551
145,1.9291338582677164,0.7986208584745024
160,1.9133858267716535,0.7768845192854997
161,1.952755905511811,0.8151177509302044
165,1.9921259842519685,0.7714762491805037
168,1.937007874015748,0.879646677771982
169,1.921259842519685,0.8028352458294334
170,1.874015748031496,0.8544201225285939
174,1.9133858267716535,0.8359351957798865
192,1.952755905511811,0.8151177509302044
200,1.9921259842519685,0.8115834316579427
218,1.8425196850393701,0.8206191705182876
224,2.0078740157480315,0.7714762491805038
244,1.937007874015748,0.8333145854659006
257,1.9921259842519685,0.7816959888106341
279,1.905511811023622,0.8206953194694576
299,1.968503937007874,0.8631522872680828
318,2.031496062992126,0.8539079898578693
326,1.9448818897637796,0.7797749636117881
341,1.984251968503937,0.8543469795140756
345,1.8976377952755905,0.8148877191065382
347,1.9763779527559056,0.8112753718891451
355,2.0551181102362204,0.7998718807545351
361,1.9921259842519685,0.7917838308500942
373,2.0236220472440944,0.8306104747593197
374,1.9448818897637796,0.809733315045647
377,1.937007874015748,0.8042351339820701
383,1.8661417322834646,0.8391435990058738
390,1.7874015748031495,0.8030687299832224
391,1.9606299212598426,0.8300083648760894
400,1.9448818897637796,0.7797749636117881
408,1.8346456692913387,0.842933083332911
414,1.8818897637795275,0.8127376158367321
417,1.858267716535433,0.8235078805611589
424,1.874015748031496,0.8164200403528284
428,2.0236220472440944,0.7711521675660437
436,1.9291338582677164,0.8278975318296334
445,1.9606299212598426,0.8106589011527893
457,1.889763779527559,0.7583225688057852
461,1.9448818897637796,0.8480330801253432
470,1.8976377952755905,0.7851260708520693
472,1.8425196850393701,0.8302342072542773
485,1.984251968503937,0.8355613260909056
490,1.8425196850393701,0.8108901326006541
493,1.984251968503937,0.7866369240594503
512,1.9606299212598426,0.7908361538727323
513,1.9291338582677164,0.8084975519218145
523,1.905511811023622,0.8303094743961983
527,1.9921259842519685,0.8309113660840813
538,1.905511811023622,0.8398135740419459
552,2.047244094488189,0.8624279838030503
571,1.9133858267716535,0.8263864929139036
577,1.952755905511811,0.8343638173048653
597,1.9133858267716535,0.7456074762811961
604,1.889763779527559,0.847295852236601
613,2.078740157480315,0.7622679112057278
617,1.8267716535433072,0.7673339558660375
623,2.0236220472440944,0.8401111692228109
631,1.8503937007874016,0.7671710572428524
636,1.889763779527559,0.7890957901162905
663,1.795275590551181,0.7274502402353701
673,1.811023622047244,0.7739025354385429
694,1.8661417322834646,0.7803357511446182
699,1.8976377952755905,0.814887719106538
700,1.8661417322834646,0.8200097243365465
729,1.858267716535433,0.7738217817955582
732,1.9133858267716535,0.7768845192854997
740,1.8425196850393701,0.8206191705182876
793,1.889763779527559,0.768717200427583
800,1.9133858267716535,0.8167261596138117
802,1.937007874015748,0.7740640174508246
814,2.0236220472440944,0.8209998446448616
822,1.8976377952755905,0.843600048820354
836,1.858267716535433,0.8330895781483212
839,2.0078740157480315,0.8404086590229364
841,1.8425196850393701,0.8108901326006541
849,1.952755905511811,0.8247969227358518
853,1.779527559055118,0.7859216188024968
857,1.8661417322834646,0.8004185881527662
871,1.9291338582677164,0.8084975519218146
892,1.7401574803149606,0.7476163011420252
895,1.9291338582677164,0.7886204788854618
908,1.8425196850393701,0.7910731795498283
916,1.8976377952755905,0.8148877191065382
926,1.921259842519685,0.8319636287513141
936,1.889763779527559,0.7789731382443407
945,1.8031496062992125,0.8265377211140741
955,1.9921259842519685,0.8017447540637024
967,1.9606299212598426,0.8106589011527893
969,1.968503937007874,0.8539079898578693
978,2.0,0.7867957924694432
979,1.921259842519685,0.7928880224047977
980,1.9133858267716535,0.8639483197290244
992,1.779527559055118,0.8348879387476001
999,1.937007874015748,0.7740640174508246
