N° TM,tropnombreux,pasassez
1,0.0,18.0
2,895.0,0.0
3,0.0,814.0
4,0.0,0.0
5,0.0,0.0
6,1902.0,0.0
7,1812.0,0.0
8,0.0,37.0
9,0.0,0.0
10,1.0,15.0
11,9.0,0.0
12,0.0,0.0
13,186.0,1.0
14,0.0,0.0
15,0.0,123.0
16,0.0,1.0
17,0.0,0.0
18,0.0,9.0
19,234.0,0.0
20,2659.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,19.0,0.0
26,0.0,0.0
27,2345.0,0.0
28,1.0,41.0
29,0.0,0.0
30,2.0,0.0
31,0.0,2.0
32,0.0,122.0
