Id,Mean,Std,Problems
0,2.1338582677165356,0.8200097243365467,"[(7, -4)]"
1,2.0,0.8067178260046389,[]
2,2.1968503937007875,0.8071050567791129,[]
3,2.0,0.8357108940373449,[]
4,2.1338582677165356,0.8485487585434008,[]
5,2.173228346456693,0.8366077401842114,[]
6,1.889763779527559,0.8089611843131193,[]
7,2.1338582677165356,0.7803357511446183,[]
8,2.1338582677165356,0.8296318242928696,[]
9,2.1338582677165356,0.8296318242928697,"[(7, -3)]"
10,1.9921259842519685,0.8497998176239777,"[(7, -1)]"
11,1.9763779527559056,0.8306104747593197,[]
12,1.968503937007874,0.7657034101308184,[]
13,1.9448818897637796,0.8291043801843316,[]
14,2.047244094488189,0.7954061328249128,"[(4, -2)]"
15,2.031496062992126,0.8631522872680828,[]
16,2.047244094488189,0.8343638173048653,[]
17,2.047244094488189,0.8343638173048653,[]
18,1.952755905511811,0.8151177509302044,[]
19,2.078740157480315,0.7726094643006641,"[(4, -1)]"
20,2.078740157480315,0.8319636287513141,"[(4, -2)]"
21,2.031496062992126,0.8060978698508189,[]
22,2.1102362204724407,0.7477834596239672,"[(7, -4)]"
23,2.0393700787401574,0.8106589011527893,[]
24,1.9763779527559056,0.8306104747593197,[]
25,2.1653543307086616,0.8238872199707288,"[(4, -1)]"
26,2.094488188976378,0.7911521723284513,[]
27,2.1023622047244093,0.7749515670405427,[]
28,2.173228346456693,0.7673339558660373,[]
29,2.047244094488189,0.8531758384844114,[]
30,2.173228346456693,0.7673339558660375,[]
31,2.1023622047244093,0.8050894229075678,[]
32,2.0236220472440944,0.7813761459212991,"[(4, -2)]"
33,2.1338582677165356,0.7597222207941559,"[(4, -3)]"
34,2.094488188976378,0.8109671950985806,[]
35,2.1023622047244093,0.7749515670405427,"[(4, -1)]"
36,1.8267716535433072,0.7877483300972803,[]
37,2.094488188976378,0.7911521723284513,[]
38,2.047244094488189,0.7853648198528295,[]
39,2.047244094488189,0.8053222535162547,[]
40,2.1338582677165356,0.7167187658184627,[]
41,2.1023622047244093,0.7951703987225784,"[(4, -4)]"
42,1.937007874015748,0.8140437129566042,[]
43,2.1102362204724407,0.7789731382443408,[]
44,2.078740157480315,0.772609464300664,"[(7, -3)]"
45,2.1181102362204722,0.7828942358817876,[]
46,2.0,0.8261595987094035,[]
47,2.094488188976378,0.7810561720561535,[]
48,2.0866141732283463,0.8069501867677519,[]
49,2.141732283464567,0.7840109475347066,[]
50,2.031496062992126,0.7446849538831388,[]
51,2.0551181102362204,0.8480330801253432,[]
52,2.0236220472440944,0.8401111692228108,[]
53,2.078740157480315,0.7828144098060377,[]
54,2.094488188976378,0.7911521723284513,"[(4, -2)]"
55,1.9763779527559056,0.8306104747593197,[]
56,2.062992125984252,0.7532788802071108,[]
57,2.062992125984252,0.7943054417905887,"[(4, -1)]"
58,2.173228346456693,0.7673339558660375,"[(11, -2)]"
59,2.1338582677165356,0.8102733687672843,[]
60,1.9921259842519685,0.8309113660840812,[]
61,2.0708661417322833,0.8468532074424885,[]
62,2.062992125984252,0.8042351339820702,"[(4, -2)]"
63,1.9763779527559056,0.8014329124517254,[]
64,2.1496062992125986,0.7875896538281516,"[(4, -2)]"
65,2.0866141732283463,0.7970543193857579,"[(4, -2)]"
66,2.0866141732283463,0.8453760508889361,[]
67,2.125984251968504,0.8066403575427517,"[(4, -6)]"
68,1.9133858267716535,0.7970543193857579,[]
69,2.173228346456693,0.7356509717291034,"[(7, -1)]"
70,2.1181102362204722,0.7929668343946951,[]
71,2.1023622047244093,0.7749515670405427,[]
72,2.173228346456693,0.7877483300972803,"[(4, -3)]"
73,2.141732283464567,0.8138133775462997,[]
74,2.0866141732283463,0.7456074762811961,[]
75,1.937007874015748,0.7740640174508248,[]
76,2.1102362204724407,0.7789731382443408,[]
77,2.141732283464567,0.773821781795558,"[(4, -6)]"
78,2.0866141732283463,0.7768845192854997,[]
79,2.2283464566929134,0.7579104145447804,"[(4, -1)]"
80,2.251968503937008,0.766029796935978,"[(4, -3)]"
81,2.031496062992126,0.8060978698508189,"[(11, -2)]"
82,2.0236220472440944,0.8209998446448615,[]
83,2.078740157480315,0.8028352458294334,[]
84,2.141732283464567,0.8040019885549414,[]
85,1.9921259842519685,0.7816959888106341,[]
86,1.984251968503937,0.8163434926014667,[]
87,2.078740157480315,0.822368812450982,"[(4, -1)]"
88,2.1653543307086616,0.8238872199707288,"[(7, -3)]"
89,2.125984251968504,0.7452721457149749,[]
90,2.15748031496063,0.7809761581060327,"[(4, -2)]"
91,2.047244094488189,0.8151177509302044,[]
92,2.047244094488189,0.775193449655924,[]
93,2.125984251968504,0.7967406419555125,[]
94,2.078740157480315,0.8414490450633778,[]
95,2.0708661417322833,0.7784916466119076,[]
96,2.1338582677165356,0.7385335612024495,"[(4, -3)]"
97,2.204724409448819,0.7382796678031393,[]
98,2.0078740157480315,0.7506194583832657,[]
99,2.0,0.8067178260046389,[]
100,2.078740157480315,0.7622679112057279,"[(4, -2)]"
101,2.047244094488189,0.8247969227358518,[]
102,2.1338582677165356,0.7700979604189456,[]
103,2.0551181102362204,0.8291043801843319,[]
104,2.1496062992125986,0.7774473917533788,[]
105,2.173228346456693,0.8076468679547302,[]
106,2.0078740157480315,0.8309113660840812,[]
107,2.015748031496063,0.8635865777545644,[]
108,2.1102362204724407,0.7890957901162905,[]
109,2.094488188976378,0.8303094743961983,[]
110,2.0236220472440944,0.8014329124517254,[]
111,2.0236220472440944,0.8209998446448615,"[(4, -2)]"
112,2.0551181102362204,0.8386221372667555,[]
113,2.1968503937007875,0.745775085022502,"[(4, -2)]"
114,2.0236220472440944,0.7914680646038974,[]
115,2.2598425196850394,0.7788126741086915,"[(7, -3)]"
116,2.1181102362204722,0.7929668343946951,[]
117,2.236220472440945,0.7710711258793539,[]
118,2.1338582677165356,0.8102733687672842,[]
119,2.1181102362204722,0.7828942358817875,[]
120,1.9921259842519685,0.8309113660840812,[]
121,2.0393700787401574,0.820390681255744,"[(11, -2)]"
122,1.984251968503937,0.796662203299949,[]
123,2.0551181102362204,0.8386221372667555,[]
124,2.141732283464567,0.7634966497033479,[]
125,1.968503937007874,0.7759991805143741,[]
