Id,Mean,Std,Problems,TMnonouverts
0,2.188976377952756,0.7941480756787345,['86 non attribué'],"[16, 5, 26]"
1,2.078740157480315,0.8028352458294334,[],"[26, 16, 5, 23]"
2,2.0,0.7968190728895957,[],"[26, 16, 5, 23]"
3,2.0708661417322833,0.7886204788854619,[],"[16, 5, 23, 26]"
4,2.1653543307086616,0.7944627767315776,[],"[16, 5, 26, 23]"
5,2.031496062992126,0.835112461526635,[],"[17, 16, 5, 23, 26]"
6,2.125984251968504,0.835636113410464,['86 non attribué'],"[16, 5, 23, 26]"
7,2.094488188976378,0.801120949453354,[],"[16, 26, 5]"
8,2.0236220472440944,0.8112753718891453,[],"[16, 26, 5, 23]"
9,2.1023622047244093,0.7749515670405426,[],"[16, 5, 26]"
10,2.1338582677165356,0.7492028009126687,[],"[5, 16, 26]"
11,2.0078740157480315,0.8213042569076933,[],"[16, 26, 5, 23]"
12,1.937007874015748,0.7943054417905887,[],"[16, 5, 26, 23]"
13,2.0393700787401574,0.7705035954012054,['153 non attribué'],"[16, 5, 26]"
14,1.9921259842519685,0.7917838308500943,[],"[26, 16, 5, 23]"
15,1.921259842519685,0.831963628751314,[],"[16, 5, 23, 26]"
16,2.125984251968504,0.8066403575427515,[],"[16, 5, 26, 23]"
17,2.047244094488189,0.8053222535162547,[],"[16, 26, 5]"
