Id,Mean,Std,Problems
0,2.0866141732283463,0.8263864929139035,[]
1,2.125984251968504,0.835636113410464,[]
2,1.8267716535433072,0.777608137623339,[]
3,1.968503937007874,0.8445625135359083,[]
4,2.0393700787401574,0.7807360670541617,[]
5,1.9763779527559056,0.781376145921299,[]
6,2.1023622047244093,0.7541908906321801,[]
7,2.173228346456693,0.8174145087959358,[]
8,2.1023622047244093,0.7851260708520693,[]
9,1.9921259842519685,0.8497998176239777,"[(7, -2)]"
10,2.125984251968504,0.7345458156613425,[]
11,2.0393700787401574,0.7908361538727323,[]
12,2.015748031496063,0.8355613260909056,[]
13,2.173228346456693,0.7977596426518888,[]
14,2.15748031496063,0.8108901326006541,[]
15,2.1023622047244093,0.824569591134473,[]
16,2.031496062992126,0.7657034101308184,[]
17,2.1338582677165356,0.8296318242928696,[]
18,2.031496062992126,0.7961914090876715,[]
19,2.047244094488189,0.7853648198528295,[]
20,2.1102362204724407,0.8378766289522175,[]
21,2.062992125984252,0.842784797100198,[]
22,2.1496062992125986,0.8364583326037388,"[(7, -1)]"
23,2.0393700787401574,0.7908361538727323,[]
24,2.062992125984252,0.8521497697566066,[]
25,1.968503937007874,0.835112461526635,[]
26,2.0,0.816496580927726,[]
27,2.1023622047244093,0.824569591134473,[]
28,2.125984251968504,0.8450803097391167,[]
29,2.15748031496063,0.7809761581060327,[]
30,2.1338582677165356,0.7803357511446183,[]
31,2.1102362204724407,0.7990902213469192,[]
32,2.094488188976378,0.7708279496969449,"[(4, -3)]"
33,2.078740157480315,0.7726094643006642,[]
34,2.0708661417322833,0.8182550380758942,[]
35,2.0866141732283463,0.8263864929139035,[]
36,1.9291338582677164,0.8182550380758941,[]
37,1.968503937007874,0.7759991805143741,[]
38,2.173228346456693,0.8174145087959359,"[(4, -4)]"
39,2.031496062992126,0.7759991805143741,"[(4, -1)]"
40,2.1181102362204722,0.8320387394478741,"[(4, -2)]"
41,2.0708661417322833,0.7886204788854618,"[(7, -3)]"
42,1.889763779527559,0.7990902213469193,[]
43,2.0551181102362204,0.809733315045647,[]
44,1.8976377952755905,0.8436000488203541,[]
45,2.078740157480315,0.8223688124509821,[]
46,2.031496062992126,0.7961914090876715,[]
47,2.0,0.8067178260046389,[]
48,2.0866141732283463,0.7768845192854997,"[(4, -2)]"
49,1.874015748031496,0.8164200403528284,[]
50,2.062992125984252,0.7740640174508246,[]
51,2.2992125984251968,0.7696109162295598,"[(4, -4)]"
52,1.952755905511811,0.8053222535162549,[]
53,2.094488188976378,0.7708279496969449,[]
54,1.9606299212598426,0.8106589011527893,[]
55,2.0078740157480315,0.7291663318870087,"[(4, -2)]"
56,2.094488188976378,0.8585061857034804,[]
57,1.9606299212598426,0.8203906812557439,[]
58,1.8661417322834646,0.7904409531315109,[]
59,2.1181102362204722,0.7929668343946951,[]
60,2.047244094488189,0.7954061328249129,[]
61,2.1968503937007875,0.8265377211140741,[]
62,2.0,0.8261595987094035,[]
63,2.1023622047244093,0.7749515670405426,[]
64,2.0393700787401574,0.8300083648760894,[]
65,2.0551181102362204,0.7998718807545351,[]
