Id,Mean,Std,Problems,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3
4529,2.1036036036036037,0.7862423293933886,"['204 non attribué', '143 non attribué', (7, 'Trop nombreux : 15>12'), (15, 'Pas assez : 3<6.0'), (32, 'Pas assez : 2<3.0')]","[17, 14, 5]",6,8,6
4530,2.0720720720720722,0.8095774185289925,"['63 non attribué', '133 non attribué', (7, 'Trop nombreux : 14>12'), (1, 'Pas assez : 1<3.0'), '35 non attribué', (32, 'Pas assez : 1<3.0')]","[14, 5, 26]",1,6,6
4531,2.108108108108108,0.7942252134106665,"['204 non attribué', (6, 'Trop nombreux : 27>16'), (3, 'Pas assez : 1<3.0'), '68 non attribué']","[5, 26, 14, 29]",6,8,2
4532,2.09009009009009,0.78503594810101,"[(20, 'Trop nombreux : 17>8'), '200 non attribué', (2, 'Trop nombreux : 7>6'), '43 non attribué', '105 non attribué']","[5, 14, 29, 26, 17]",4,7,7
4533,2.0675675675675675,0.812756013230862,"[(2, 'Trop nombreux : 8>6'), '51 non attribué', '204 non attribué', '116 non attribué', '161 non attribué', (27, 'Trop nombreux : 8>5'), (3, 'Pas assez : 2<3.0'), (1, 'Pas assez : 2<3.0')]","[5, 26, 14, 17]",2,8,3
4534,2.0585585585585586,0.7965955238903089,"[(3, 'Pas assez : 1<3.0'), '63 non attribué', '228 non attribué', (6, 'Trop nombreux : 21>16')]","[15, 14, 5, 17, 26]",9,8,2
4535,2.09009009009009,0.7792507080877089,"[(3, 'Pas assez : 1<3.0'), (7, 'Trop nombreux : 15>12')]","[1, 17, 14, 26, 5, 29]",0,7,2
4536,2.0045045045045047,0.804386997132654,"['63 non attribué', '67 non attribué', '116 non attribué', (3, 'Pas assez : 2<3.0'), '176 non attribué', (6, 'Trop nombreux : 20>16'), (19, 'Trop nombreux : 3>2'), (1, 'Pas assez : 1<3.0'), (32, 'Pas assez : 2<3.0')]","[17, 14, 29, 5]",1,8,4
4537,2.054054054054054,0.8053872662568292,"['133 non attribué', (3, 'Pas assez : 2<3.0'), (6, 'Trop nombreux : 24>16')]","[5, 26, 14, 17]",3,6,4
4538,2.081081081081081,0.8031063574959482,"['35 non attribué', (6, 'Trop nombreux : 24>16'), (10, 'Pas assez : 1<2.0')]","[5, 17, 26, 14]",5,6,7
4539,2.1126126126126126,0.755626510858771,"[(7, 'Trop nombreux : 16>12'), (8, 'Pas assez : 2<4.0'), '183 non attribué', (3, 'Pas assez : 1<3.0')]","[17, 5, 14]",3,7,2
4540,2.2432432432432434,0.7146332947707261,"[(3, 'Pas assez : 2<3.0'), (20, 'Trop nombreux : 18>8'), (8, 'Pas assez : 1<4.0')]","[14, 5, 17, 29, 26]",3,8,4
4541,2.063063063063063,0.7761055962029545,"['105 non attribué', '143 non attribué', '161 non attribué', (3, 'Pas assez : 1<3.0'), (7, 'Trop nombreux : 18>12'), (8, 'Pas assez : 1<4.0')]","[5, 14, 17, 29, 26]",9,8,2
4542,2.081081081081081,0.7261768122343761,"[(3, 'Pas assez : 1<3.0'), '30 non attribué', (20, 'Trop nombreux : 18>8')]","[5, 14, 17, 26]",4,8,2
4543,2.0855855855855854,0.8221313044655547,"['161 non attribué', (2, 'Trop nombreux : 8>6'), '143 non attribué', (6, 'Trop nombreux : 19>16'), (19, 'Trop nombreux : 3>2'), '35 non attribué']","[5, 14, 17, 29, 26]",9,8,7
4544,2.09009009009009,0.755666970981643,"[(20, 'Trop nombreux : 22>8'), (28, 'Pas assez : 1<2.0'), (8, 'Pas assez : 2<4.0')]","[29, 5, 14]",5,8,7
4545,2.135135135135135,0.7549113577940474,"[(6, 'Trop nombreux : 21>16'), (32, 'Pas assez : 1<3.0')]","[29, 5, 14, 17]",4,8,9
4546,2.0765765765765765,0.7777976746020018,"[(6, 'Trop nombreux : 17>16'), (2, 'Trop nombreux : 7>6'), '200 non attribué', '35 non attribué']","[5, 14, 17]",5,7,6
4547,2.0585585585585586,0.7735407769855775,"['67 non attribué', '174 non attribué', (27, 'Trop nombreux : 6>5'), (2, 'Trop nombreux : 9>6')]","[5, 14, 17]",4,9,5
4548,2.0855855855855854,0.7768537132156773,"[(7, 'Trop nombreux : 16>12'), (19, 'Trop nombreux : 3>2'), (32, 'Pas assez : 1<3.0')]","[17, 26, 14, 5]",5,8,6
4549,2.130630630630631,0.7527076665443988,"['143 non attribué', '73 non attribué', (20, 'Trop nombreux : 15>8'), (8, 'Pas assez : 1<4.0'), '217 non attribué', (27, 'Trop nombreux : 8>5'), (3, 'Pas assez : 2<3.0')]","[14, 17, 26, 5]",3,8,3
4550,2.0765765765765765,0.7950588304542311,"['194 non attribué', (3, 'Pas assez : 1<3.0'), (7, 'Trop nombreux : 16>12'), (18, 'Pas assez : 1<2.0')]","[5, 14, 26]",6,7,2
4551,2.2117117117117115,0.7700547948698419,"[(27, 'Trop nombreux : 9>5'), (15, 'Pas assez : 3<6.0')]","[5, 14, 17, 26]",5,8,9
4552,2.0,0.8238525545716346,"[(6, 'Trop nombreux : 18>16'), '68 non attribué', '196 non attribué', '120 non attribué', '143 non attribué', '229 non attribué']","[14, 5, 29]",5,8,5
4553,2.0135135135135136,0.769790062053001,"[(6, 'Trop nombreux : 28>16'), (3, 'Pas assez : 2<3.0'), '68 non attribué']","[29, 14, 17, 5]",3,6,4
4554,2.0765765765765765,0.7777976746020018,"[(20, 'Trop nombreux : 12>8'), (2, 'Trop nombreux : 7>6'), (3, 'Pas assez : 1<3.0'), (28, 'Trop nombreux : 5>4'), (10, 'Pas assez : 1<2.0'), '35 non attribué']","[14, 5, 29, 17]",6,7,2
4555,2.144144144144144,0.7592190181956641,"[(6, 'Trop nombreux : 20>16'), '68 non attribué']","[25, 5, 17, 26, 14]",8,8,9
4556,2.018018018018018,0.7957122877791637,"['63 non attribué', (7, 'Trop nombreux : 15>12'), '186 non attribué', (1, 'Pas assez : 1<3.0'), (32, 'Pas assez : 1<3.0')]","[14, 5, 17, 26]",2,8,9
4557,2.0135135135135136,0.8098920643673179,"[(6, 'Trop nombreux : 21>16'), '120 non attribué', '229 non attribué', '68 non attribué', (3, 'Pas assez : 1<3.0')]","[14, 5, 17, 26]",7,7,2
4558,2.1396396396396398,0.8034742748070984,"[(20, 'Trop nombreux : 12>8'), (15, 'Pas assez : 4<6.0'), '4 non attribué', '89 non attribué', (27, 'Trop nombreux : 9>5'), '35 non attribué', (32, 'Pas assez : 2<3.0'), (1, 'Pas assez : 1<3.0')]","[5, 14]",1,7,6
4559,2.0855855855855854,0.8166089076336226,"[(3, 'Pas assez : 1<3.0'), (6, 'Trop nombreux : 20>16'), '196 non attribué', '120 non attribué', '229 non attribué', (13, 'Trop nombreux : 13>12'), '73 non attribué', '68 non attribué', (1, 'Pas assez : 2<3.0')]","[17, 14, 5, 29]",3,8,2
4560,2.036036036036036,0.8230604836714618,"['67 non attribué', '228 non attribué', (3, 'Pas assez : 1<3.0'), '35 non attribué']","[17, 14, 5, 26]",3,7,2
4561,2.0675675675675675,0.8015440034905214,"['30 non attribué', (20, 'Trop nombreux : 11>8'), (2, 'Trop nombreux : 8>6'), '43 non attribué']","[5, 14, 17, 29]",5,8,7
4562,2.0720720720720722,0.7635557651847168,"['204 non attribué', (7, 'Trop nombreux : 19>12'), (1, 'Pas assez : 2<3.0'), (8, 'Pas assez : 1<4.0'), '147 non attribué', (3, 'Pas assez : 2<3.0')]","[14, 17, 5]",3,7,4
4563,2.099099099099099,0.7723145556962921,"[(20, 'Trop nombreux : 12>8'), (27, 'Trop nombreux : 7>5'), (19, 'Trop nombreux : 3>2'), (13, 'Trop nombreux : 15>12'), (28, 'Pas assez : 1<2.0'), (10, 'Pas assez : 1<2.0')]","[14, 5, 26]",7,8,5
4564,2.2027027027027026,0.7303330250673145,"['143 non attribué', (3, 'Pas assez : 2<3.0'), (20, 'Trop nombreux : 21>8'), (15, 'Pas assez : 5<6.0'), (32, 'Pas assez : 2<3.0')]","[5, 14, 17, 26]",3,8,4
4565,2.1396396396396398,0.7748045182486432,"[(20, 'Trop nombreux : 11>8'), (27, 'Trop nombreux : 9>5')]","[17, 14, 26, 5]",7,8,5
4566,2.0585585585585586,0.8078762134098192,"['176 non attribué', (3, 'Pas assez : 1<3.0'), (7, 'Trop nombreux : 18>12'), (1, 'Pas assez : 1<3.0')]","[29, 14, 5, 17]",1,8,2
4567,2.054054054054054,0.8384195198005503,"[(6, 'Trop nombreux : 20>16'), '68 non attribué', '196 non attribué', '120 non attribué', '229 non attribué']","[29, 17, 5, 26, 14]",4,7,7
4568,1.981981981981982,0.7608281030487859,"[(27, 'Trop nombreux : 7>5'), (19, 'Trop nombreux : 3>2'), '133 non attribué', '186 non attribué', (3, 'Pas assez : 2<3.0')]","[14, 5, 17]",8,8,3
4569,2.18018018018018,0.7514474502955104,"[(3, 'Pas assez : 1<3.0'), '191 non attribué', (20, 'Trop nombreux : 12>8'), (15, 'Pas assez : 5<6.0'), (10, 'Pas assez : 1<2.0')]","[14, 29, 5, 17, 26]",6,7,2
4570,2.0315315315315314,0.8204933933332591,"[(6, 'Trop nombreux : 21>16'), '73 non attribué', '196 non attribué', '176 non attribué', '229 non attribué', (1, 'Pas assez : 2<3.0')]","[17, 5, 14]",2,7,7
4571,2.126126126126126,0.7564757189969709,"[(20, 'Trop nombreux : 17>8'), (15, 'Pas assez : 4<6.0'), '73 non attribué']","[17, 5, 26, 14]",7,8,5
4572,2.036036036036036,0.7601848778220227,"[(3, 'Pas assez : 1<3.0'), '161 non attribué', (10, 'Pas assez : 1<2.0'), (6, 'Trop nombreux : 23>16')]","[26, 17, 14, 5]",4,8,2
4573,2.0405405405405403,0.7977205510293365,"[(15, 'Pas assez : 3<6.0'), (7, 'Trop nombreux : 16>12'), (3, 'Pas assez : 1<3.0'), '51 non attribué', '228 non attribué', (27, 'Trop nombreux : 10>5'), (19, 'Trop nombreux : 4>2')]","[32, 29, 5, 17, 14, 26]",7,8,2
4574,2.1216216216216215,0.7893986949703475,"[(27, 'Trop nombreux : 7>5'), '105 non attribué', (13, 'Trop nombreux : 14>12'), '43 non attribué']","[14, 5, 26, 17, 29]",4,7,5
4575,2.09009009009009,0.8021413597850569,"['35 non attribué', (6, 'Trop nombreux : 21>16'), (3, 'Pas assez : 2<3.0'), '68 non attribué', (8, 'Pas assez : 2<4.0'), (1, 'Pas assez : 2<3.0')]","[29, 17, 26, 14, 5]",3,6,4
4576,2.0585585585585586,0.7676689129460662,"[(27, 'Trop nombreux : 6>5'), (7, 'Trop nombreux : 21>12'), (3, 'Pas assez : 1<3.0'), (8, 'Pas assez : 3<4.0'), (18, 'Pas assez : 1<2.0')]","[5, 14]",8,8,2
4577,2.0765765765765765,0.7777976746020018,"[(8, 'Pas assez : 1<4.0'), (6, 'Trop nombreux : 24>16')]","[5, 14, 29, 26, 17]",9,7,7
4578,2.0225225225225225,0.7812491082706582,"['133 non attribué', (3, 'Pas assez : 1<3.0'), (7, 'Trop nombreux : 14>12'), (19, 'Trop nombreux : 3>2'), (8, 'Pas assez : 1<4.0'), '35 non attribué']","[29, 14, 17, 5]",3,7,2
4579,2.081081081081081,0.7860219463751896,"['67 non attribué', (27, 'Trop nombreux : 7>5'), (19, 'Trop nombreux : 3>2'), (32, 'Pas assez : 1<3.0')]","[14, 5, 17]",9,6,5
4580,2.0405405405405403,0.8089855530513882,"['228 non attribué', (7, 'Trop nombreux : 16>12'), (1, 'Pas assez : 1<3.0')]","[14, 5, 17]",1,7,6
4581,2.081081081081081,0.7974522228289,"['51 non attribué', '133 non attribué', '203 non attribué', (27, 'Trop nombreux : 10>5'), '35 non attribué', (32, 'Pas assez : 1<3.0')]","[14, 17, 5, 29]",5,7,7
4582,2.1486486486486487,0.7789498517034031,"[(6, 'Trop nombreux : 18>16'), (3, 'Pas assez : 2<3.0')]","[14, 17, 5]",4,8,4
4583,1.9954954954954955,0.7639960895623062,"['161 non attribué', (2, 'Trop nombreux : 12>6'), (3, 'Pas assez : 2<3.0')]","[1, 5, 14]",0,12,3
4584,2.0765765765765765,0.7660741968667064,"[(1, 'Pas assez : 2<3.0'), (20, 'Trop nombreux : 15>8'), '35 non attribué', (2, 'Trop nombreux : 13>6'), (8, 'Pas assez : 3<4.0')]","[14, 17, 5]",2,13,7
4585,1.990990990990991,0.8071568502552311,"[(27, 'Trop nombreux : 13>5')]","[3, 17, 5, 14, 29]",8,7,0
4586,2.1171171171171173,0.8209776617321232,"[(3, 'Pas assez : 2<3.0'), '35 non attribué', (2, 'Trop nombreux : 9>6')]","[29, 5, 17, 14]",4,9,4
4587,2.1126126126126126,0.7964419879703688,"['73 non attribué', (20, 'Trop nombreux : 11>8'), '67 non attribué', '95 non attribué', '225 non attribué', (27, 'Trop nombreux : 7>5'), (3, 'Pas assez : 1<3.0')]","[14, 17, 29, 5]",4,7,2
4588,2.0495495495495497,0.7259101167043567,"[(7, 'Trop nombreux : 21>12'), '73 non attribué', (32, 'Pas assez : 1<3.0'), (3, 'Pas assez : 2<3.0')]","[14, 17, 5, 26]",4,7,3
4589,2.1576576576576576,0.7771684944056542,"[(6, 'Trop nombreux : 20>16'), '68 non attribué']","[5, 14, 26, 17, 29]",9,8,9
4590,2.0675675675675675,0.8071694761865497,"['30 non attribué', '63 non attribué', (6, 'Trop nombreux : 21>16'), '68 non attribué', '229 non attribué', (3, 'Pas assez : 1<3.0')]","[29, 5, 26, 14]",3,7,2
4591,2.0765765765765765,0.833946617100185,"['30 non attribué', '217 non attribué', (27, 'Trop nombreux : 9>5'), '43 non attribué', '143 non attribué', (13, 'Trop nombreux : 13>12')]","[5, 17, 14, 26]",4,7,5
