Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux
4670,2.058558558558558,0.8078762134098192,"[17, 5, 14]",6,7,4,"['68 non attribué', '147 non attribué']","[(3, 'Pas assez : 2<3.0')]","[(6, 'Trop nombreux : 21>16')]"
4671,2.09009009009009,0.790778865149106,"[5, 29, 14, 17, 26]",5,6,5,"['196 non attribué', '133 non attribué', '229 non attribué']",[],[]
4672,2.103603603603604,0.8089351615256726,"[14, 17, 5, 26]",2,8,2,"['4 non attribué', '204 non attribué', '67 non attribué', '73 non attribué']","[(3, 'Pas assez : 1<3.0'), (15, 'Pas assez : 2<6.0'), (32, 'Pas assez : 1<3.0'), (1, 'Pas assez : 2<3.0')]","[(7, 'Trop nombreux : 18>12')]"
4673,2.1666666666666665,0.7635157231038845,"[8, 29, 14, 5]",9,6,8,['35 non attribué'],[],"[(20, 'Trop nombreux : 14>8')]"
4674,2.018018018018018,0.8291300787311285,"[14, 17, 5]",9,8,7,"['68 non attribué', '196 non attribué', '143 non attribué', '229 non attribué']","[(10, 'Pas assez : 1<2.0'), (8, 'Pas assez : 1<4.0')]",[]
4675,2.009009009009009,0.7958659644705466,"[5, 17, 14]",7,7,2,"['143 non attribué', '229 non attribué', '35 non attribué']","[(3, 'Pas assez : 1<3.0')]",[]
4676,1.972972972972973,0.8067527161203687,"[5, 14, 29, 17]",6,7,9,['35 non attribué'],[],"[(7, 'Trop nombreux : 16>12')]"
4677,2.036036036036036,0.7661141052251549,"[14, 5]",2,6,7,[],"[(1, 'Pas assez : 2<3.0')]","[(20, 'Trop nombreux : 17>8')]"
4678,2.126126126126126,0.7683456650123669,"[5, 29, 17, 14]",6,7,6,['35 non attribué'],"[(32, 'Pas assez : 1<3.0')]","[(20, 'Trop nombreux : 14>8')]"
4679,2.1486486486486487,0.7432793747540808,"[28, 17, 5, 14, 26]",2,8,7,['50 non attribué'],"[(1, 'Pas assez : 2<3.0')]","[(20, 'Trop nombreux : 11>8'), (27, 'Trop nombreux : 8>5')]"
