Id,Mean,Std,Problems,TMnonouverts
0,2.0078740157480315,0.8115834316579426,"['91 non attribué', '153 non attribué']","[5, 19, 17, 26, 16, 23]"
1,1.9763779527559056,0.7607908054575787,[],"[5, 26, 17, 16, 23]"
2,2.0551181102362204,0.809733315045647,"[(17, 'Pas assez : 1<6.0')]","[16, 26, 5, 23, 19]"
3,2.0,0.8067178260046389,[],"[5, 16, 26, 19]"
4,2.0236220472440944,0.8209998446448613,['227 non attribué'],"[26, 5, 16, 23]"
5,1.9291338582677164,0.8561736802942768,"['179 non attribué', '139 non attribué', '153 non attribué']","[5, 26, 16, 19, 23]"
6,2.1181102362204722,0.8693563868943913,"['180 non attribué', '222 non attribué', '147 non attribué', '119 non attribué']","[26, 17, 16, 5]"
7,2.188976377952756,0.8040797112085672,"['153 non attribué', '119 non attribué', '179 non attribué', (4, 'Pas assez : 1<6.0')]","[16, 5, 19, 26]"
8,2.267716535433071,0.830459988214963,"[(17, 'Pas assez : 1<6.0'), (10, 'Pas assez : 4<10.0'), (16, 'Pas assez : 1<8.0'), '262 non attribué']","[5, 19, 26, 23]"
9,2.204724409448819,0.790203737814871,"[(16, 'Pas assez : 1<8.0'), (19, 'Pas assez : 1<4.0')]","[17, 26, 23, 5]"
10,2.0236220472440944,0.8679895300474344,"[(17, 'Pas assez : 1<6.0'), (5, 'Pas assez : 1<8.0'), (4, 'Pas assez : 1<6.0'), '147 non attribué', '91 non attribué', '139 non attribué']","[16, 26, 23]"
11,2.0866141732283463,0.8547126319936946,"[(16, 'Pas assez : 1<8.0'), '118 non attribué']","[26, 5, 19]"
12,2.1338582677165356,0.7277079119738609,[],"[5, 16, 26, 19]"
13,2.0551181102362204,0.8291043801843319,"['86 non attribué', '179 non attribué', (10, 'Pas assez : 6<10.0'), '262 non attribué']","[26, 23, 16, 5, 4]"
14,1.952755905511811,0.8053222535162547,"['118 non attribué', '58 non attribué']","[5, 16, 19, 26]"
15,2.0078740157480315,0.8497998176239778,"['147 non attribué', '227 non attribué']","[16, 26, 19, 5]"
16,2.078740157480315,0.7828144098060377,['86 non attribué'],"[16, 5, 26, 19, 23]"
17,1.9606299212598426,0.8582149692141982,"['153 non attribué', '91 non attribué', '73 non attribué']","[5, 16, 26, 23, 19]"
18,1.9763779527559056,0.8014329124517253,"[(16, 'Pas assez : 1<8.0')]","[5, 26, 23, 19]"
19,2.236220472440945,0.8400367803114133,"['147 non attribué', '262 non attribué']","[16, 26, 5, 17, 23, 19]"
20,2.251968503937008,0.7450205487419418,"[(16, 'Pas assez : 1<8.0'), '147 non attribué', (4, 'Pas assez : 2<6.0')]","[5, 26]"
21,1.795275590551181,0.7698544768399812,[],"[16, 5, 26]"
